Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-BR-4279-01A-01R-1131-13	0.068911147	0	0.072522255	0.075994103	0	0.135691386	0.068317524	0.009595784	0	0.029868996	0.016162888	0	0.023492343	0.118195984	0.0427455	0.141724278	0.051817908	0	0.03476781	0.043143188	0.003124434	0.063924472
TCGA-D7-6522-01A-11R-1802-13	0.081192334	0.038496811	0.030586	0.147654701	0	0.126772456	0.059218008	0.021470826	0.089474988	0	0	0.001259666	0.009157781	0.102616887	0.058322066	0.162834061	0.03439327	0	0.026610532	0	0.008623263	0.001316348
TCGA-CG-4441-01A-01R-1802-13	0.11912807	0	0.010446316	0.100985064	0	0.186354392	0	0	0.05123812	0	0	9.39E-05	0	0.181714351	0.058276657	0.124213266	0	0	0	0.113262033	0	0.054287867
TCGA-HU-A4H4-01A-21R-A251-31	0.002858781	0.049476384	0.010950638	0.165752395	0	0.078796194	0.124565215	0.063537092	0.068849676	0	0.000110941	0	0	0.138892825	0.145519323	0.042443276	0	0.054298773	0.037789967	0	0	0.01615852
TCGA-VQ-AA64-01A-11R-A414-31	0.154915736	0	0.032975464	0.084175303	0	0.270146636	0	0.070944111	0.034303523	0	0	0.05478473	0.002710646	0.083310366	0.092052873	0.064469098	0	0.010165592	0.044195226	0	0	0.000850696
TCGA-D7-A6EZ-01A-11R-A31P-31	0.023895037	0	0.006186191	0.163023276	0	0.076507499	0.158790134	0.009745001	0.007845455	0	0.05816513	0	0.002208916	0.187626234	0.106028291	0.133014104	0	0.025363386	0	0.040416996	0	0.001184349
TCGA-BR-8677-01A-11R-2402-13	0.013737248	0	0	0.324323413	0	0.091998205	0.042090553	0.039704208	0.097228396	0	0	0.047720792	0.009109183	0.008298064	0.190157031	0.082986727	0.004255857	0	0.048390323	0	0	0
TCGA-RD-A8N0-01A-12R-A36D-31	0.026251884	0.206506555	0.089688361	0.177068796	0	0.202975255	0.014348033	0.077546639	0.048190606	0	0	0.018421123	0.001299372	0.016207792	0.030424423	0.031237767	0.005277077	0.009606751	0.044949566	0	0	0
TCGA-VQ-A927-01A-12R-A414-31	0.015567914	0	0.143735965	0.051010111	0	0.449303076	0.031953122	0	0.006737915	0	0.004787306	0.000177028	0.008266105	0.042731463	0.038879194	0.11711596	0.003309677	0.019087297	0.034401834	0	0.017418949	0.015517082
TCGA-RD-A7BS-01A-11R-A32D-31	0.159983014	0.05741774	0	0.090894773	0	0.192433312	0.004239343	0.031212276	0.049278196	0	0	0.023459701	0.003840749	0.140910724	0.160006619	0.023573664	0	0.013078332	0.049671555	0	0	0
TCGA-CG-5732-01A-11R-1602-13	0.034477594	0.097814391	0.083449325	0.242502501	0	0.178014951	0	0.025261536	0.089075323	0	0	0.001652946	0.009884108	0.082997857	0.03187719	0.069397798	0.002301166	0.004010868	0	0.037149845	0	0.0101326
TCGA-BR-8364-01A-11R-2343-13	0.088768199	0	0	0.134023697	0	0.231260954	0	0.015771171	0.05720303	0	0	0.023169291	0.011176512	0.064196867	0.033965402	0.218114678	0.019975111	0.012100287	0.090274802	0	0	0
TCGA-VQ-A91X-01A-12R-A414-31	0.13175032	0	0.06889702	0.100722557	0	0.258889682	0.032198298	0.07253499	0.045043432	0	0.02870983	0	0	0.148736967	0.029649676	0.001816231	0.025040417	0	0	0.056010581	0	0
TCGA-BR-8286-01A-12R-2343-13	0.015477647	0	0	0.149838235	0	0.159005754	0.040967446	0.004002228	0.104942276	0	0	0.015257387	0	0.123151938	0.047295759	0.192213242	0.048947068	0.012886542	0.051550283	0.034464194	0	0
TCGA-D7-5578-01A-01R-1602-13	0.039125134	0.029081419	0.050943363	0.126847265	0	0.175233178	0.060488968	0.034853247	0.053441003	0	0.025544989	0	0.027958336	0.133693308	0.078464226	0.072578515	0.057155953	0	0.023534327	0.001640073	0	0.009416696
TCGA-BR-A4J5-01A-21R-A251-31	0.106623606	0	0.045391071	0.074097557	0	0.191889306	0.013371098	0.022176349	0.058564355	0	0	0.000746045	0	0.230475615	0.034158925	0.128835063	0	0	0.090330368	0	0	0.003340643
TCGA-RD-A8N5-01A-12R-A36D-31	0.041002557	0	0.002998353	0	0	0.17547602	0	0	0	0	0.055947916	0	0.039431472	0.257030492	0	0.144768457	0	0.023683913	0	0.123697815	0	0.135963004
TCGA-HU-8608-01A-11R-2402-13	0.118652574	0	0.130256307	0.116822177	0	0.164774769	0.039028118	0.043455444	0.02750844	0	0.034848843	0	0	0.036474594	0.137152585	0.07442258	0.027854114	0.020999146	0.027750309	0	0	0
TCGA-CG-5724-01A-11R-1602-13	0.004415183	0.025505243	0	0.108124032	0	0.122352287	0.060378602	0.007042892	0.05909847	0	0.011515923	0	0.017648422	0.126701275	0.096546255	0.204747873	0.001061455	0.013371307	0	0.110804848	0	0.030685933
TCGA-BR-8678-01A-11R-2402-13	0.078697004	0	0.007609033	0.17215883	0	0.040928273	0.050973614	0.040110146	0.019441843	0	0.004346983	0.018764124	0	0.301270921	0.19078715	0.064375936	0	0	0	0.00956016	0.000975983	0
TCGA-D7-A4Z0-01A-22R-A251-31	0.200561971	0	0.031089785	0.044112769	0	0.221967611	0.018934583	0.024059225	0.062091328	0	0	0.009478506	0.014989513	0.069500988	0.013457963	0.021217441	0.101751016	0.047167403	0.094014379	0	0	0.025605519
TCGA-BR-8588-01A-11R-2402-13	0.108322617	0	0	0.201497447	0	0.129982558	0.07046123	0.047269658	0.03356507	0	0	0.038817317	0.004081792	0.08796146	0.057214004	0.097087565	0.016990658	0	0.070553218	0	0.001002558	0.035192846
TCGA-IN-A7NR-01A-11R-A354-31	0.180025639	0	0.0656796	0.123378139	0	0.26009056	0	0.017727019	0.068434795	0	0	0.061136524	0.014820279	0.000194319	0.034003707	0.064039744	0.00788598	0.037271471	0.065312225	0	0	0
TCGA-VQ-A8PQ-01A-11R-A414-31	0.168749776	0.187784649	0	0.097416289	0.051051008	0.229454674	0.019214518	0	0.104541797	0	0.007303986	0	0.001627059	0.059384331	0.038695097	0.021341874	0	0.005182424	0.008252518	0	0	0
TCGA-BR-8369-01A-11R-2343-13	0.287103464	0.052942239	0.01275642	0.025396891	0	0.237049081	0.00139217	0	0.011385532	0	0.009250851	0	0	0.204554184	0.047509435	0.07941485	0	0	0.031244883	0	0	0
TCGA-BR-6453-01A-11R-1802-13	0.28777874	0.043969242	0.036976073	0.118711165	0	0.123019843	0.028091107	0.013165375	0.048958763	0	0	0.037654963	0	0.069141195	0	0.078333951	0.028842994	0.031542648	0.048700469	0	0.003855044	0.001258429
TCGA-BR-6457-01A-21R-1802-13	0.105669954	0.010294943	0.118418739	0.138297078	0	0.201763801	0.053561101	0.014267158	0.018199096	0	0	0.02563071	0.010548289	0.022327329	0.06935239	0.0552389	0.053179648	0	0.103250865	0	0	0
TCGA-VQ-A925-01A-11R-A414-31	0.118461065	0	0.009048149	0.186030458	0	0.440930433	0.03327017	0.001359528	0.033981902	0	0	9.99E-06	0.009317258	0.026607234	0.050272377	0.05665779	0.015003503	0.00956306	0.009487085	0	0	0
TCGA-CG-4301-01A-01R-1157-13	0.140651817	0	0.019974098	0.016402032	0	0.25813266	0.014623791	0.025761349	0.002420161	0	0.007293925	0	0	0.066670343	0.066336553	0.213886813	0.062850658	0.001592134	0.041115594	0.020944879	0.027726946	0.013616248
TCGA-CG-5719-01A-11R-1602-13	0.033730855	0	0.083208935	0.037633533	0	0.213642463	0	0	0.066027869	0	0	0.035786713	0.006957346	0.340359202	0.022484428	0.11321632	0.002420148	0	0	0.031572091	0	0.012960095
TCGA-BR-6803-01A-11R-1884-13	0.234847621	0	0.062482982	0.153540787	0	0.252997226	0.016745521	0.034133191	0.045714839	0	0.008416457	0	0.013723698	0.007330843	0.045755704	0.064565237	0.01863539	0	0.041110506	0	0	0
TCGA-CD-5801-01A-11R-1602-13	0.117481323	0	0.038166925	0.3929097	0	0.037222023	0.190722511	0.01323124	0.027937165	0	0.012239902	0	0.007271937	0.000264805	0.061662311	0.085070609	0.012337211	0	0.002900058	0	0	0.000582281
TCGA-CD-A489-01A-11R-A24K-31	0.225044753	0	0	0.153351174	0	0.246956287	0	0.021166931	0.024985063	0	0	0.049964274	0.004639971	0.017112974	0.034571972	0.119838353	0.03447644	0	0.067891807	0	0	0
TCGA-HU-8602-01A-11R-2402-13	0.024030444	0	0.020207901	0.039314846	0	0.181388595	0.094928842	0.004716973	0	0	0.024375664	0	0	0.313637893	0.125236474	0.077901969	0	0	0	0.070070694	0.000220454	0.02396925
TCGA-CG-5717-01A-11R-1602-13	0.088913655	0	0	0.104815396	0	0.182751327	0.053190697	0.02002718	0.087044677	0	0.025578539	0	0.017149872	0.064479466	0.11065409	0.063970885	0.037297083	0.020623606	0.115679975	0	0	0.007823551
TCGA-FP-A8CX-01A-11R-A36D-31	0	0.03485751	0.07417379	0.098570182	0	0.165627021	0	0.020025751	0.097087952	0	0	0.049751698	0	0.22802778	0.064873259	0.09459422	0.015819728	0	0.050493651	0	0	0.006097458
TCGA-RD-A8N4-01A-21R-A36D-31	0.123543085	0	0	0.170941851	0	0.307930956	0.02035658	0	0.039875882	0	0	0.013368027	0.011203866	0	0.102844326	0.14193666	0	0.000512838	0.067485928	0	0	0
TCGA-HU-8249-01A-11R-A36D-31	0.099381916	0	0.004278665	0.114834186	0	0.10155405	0.147284909	0.007006825	0.032254938	0	0	0.042503606	0	0.160395237	0.052216547	0.042531767	0	0	0	0.1890112	0	0.006746155
TCGA-D7-8574-01A-13R-2343-13	0.002280764	0.35713967	0.013259692	0.13696727	0	0.244760715	0.011630385	0.015644464	0.06688761	0	0	0.011870549	0.00193096	0.052603797	0.020349916	0.050070835	0	0.003657333	0.01094604	0	0	0
